brand,year_of_manufacture,age,repair_status,problem
Samsung,2022,3,Repairable,no reaction.
Samsung,unknown,unknown,Repairable,tablet. No longer charges (reliably). Probably dirt in the charging socket. Repair: charging socket cleaned.
Samsung,unknown,unknown,Repairable,"Only charges when/under high heat?!? - According to my test and test adapters and USB charger, both the USB-C charging socket and the charging behavior on the cell phone are OK. The thermal camera also showed no abnormalities when charging the cell phone. Owner should check charging cable and adapter. [UE] {Günter S.}"
Apple,unknown,unknown,Repairable,"Touch no longer works. Phone purchased from classifieds was “poorly” repaired. The display came off the frame (without glue) and the touch could not be used as a result. The ribbon cable for the touch finally broke off, so a new display unit was ordered. The continuation will take place on July 17, 25."
Apple,2020,5,Repairable,"Continued on July 17, 2025: Display with touch function replaced."
Apple,unknown,unknown,Repairable,Replacing the camera glass and battery --- Replacing the battery and lens.
Samsung,2021,4,Repairable,Memory full. Explains that you can insert a memory card.
Apple,2022,3,Unknown,"2nd appointment We swapped the display together with the guest. Unfortunately, after the trial operation and final assembly, the following status occurred: No image, backlight active, device boots and can be accessed in the cloud. The old display no longer shows an image either. The device cannot be used in this condition. broken during repair."
Samsung,unknown,unknown,End of life,"Display disappears, requires restart every time."
Samsung,unknown,unknown,End of life,Loose contact USB-C port.
Samsung,2015,10,End of life,"Cell phone can no longer be switched on, circuit board short circuit without precise location, capacitors measured, device cannot be repaired."
Samsung,unknown,unknown,Repairable,Gmail doesn't work. OK after reinstalling.
Apple,2023,2,Repairable,"Display has a crack. Shortly after we started dismantling the device, we discovered that the guest had gotten the wrong electronic part. He comes back with the right spare part."
Samsung,2015,10,End of life,Don't start.
Apple,2022,3,End of life,"Serious fall damage, device cannot be repaired economically, but data should be saved. Smartphone does not start, device disassembled, contacts cleaned, battery charged manually, data backup pending."
Samsung,2015,10,Repairable,On-off button no longer works. Smartphone was dismantled and then a new button was installed. Full functionality restored.
Samsung,2020,5,Repairable,Replace battery.
Samsung,unknown,unknown,End of life,after the wine shower the buttons no longer work -&gt; goes directly to fastboot.
