brand,model,storage,price_aud
Apple,iPhone SE (2nd Gen),64GB,189
Apple,iPhone SE (2nd Gen),128GB,205
Apple,iPhone SE (2nd Gen),256GB,225
Apple,iPhone SE (3rd Gen),64GB,210
Apple,iPhone SE (3rd Gen),128GB,319
Apple,iPhone SE (3rd Gen),256GB,349
Apple,iPhone XR,64GB,199
Apple,iPhone XR,128GB,229
Apple,iPhone XR,256GB,259
Apple,iPhone 11,64GB,200
Apple,iPhone 11,128GB,300
Apple,iPhone 11,256GB,339
Apple,iPhone 12,64GB,285
Apple,iPhone 12,128GB,367
Apple,iPhone 12,256GB,367
Apple,iPhone 13,128GB,383
Apple,iPhone 13,256GB,469
Apple,iPhone 13,512GB,488
Apple,iPhone 14,128GB,539
Apple,iPhone 14,256GB,591
Apple,iPhone 14,512GB,669
Apple,iPhone 15,128GB,652
Apple,iPhone 15,256GB,700
Apple,iPhone 15,512GB,731
Apple,iPhone 16,128GB,849
Apple,iPhone 16,256GB,898
Apple,iPhone 16,512GB,911
Apple,iPhone 16 Plus,128GB,1139
Apple,iPhone 16 Plus,256GB,1239
Apple,iPhone 16 Plus,512GB,1346
