state_scope,state_full_name,provider_name,search_query,source_type,verification_level,place_id,display_name,formatted_address,suburb,state,postcode,latitude,longitude,national_phone_number,website_uri,google_maps_uri,business_status,primary_type,types,accepted_items,note,in_state_bbox,passes_name_filter,passes_state_filter,confidence_score,keep,data_quality_status,corrected_source_type,corrected_accepted_items,quality_reason,final_keep,manual_review_required
ACT,Australian Capital Territory,Aldi,Aldi battery recycling ACT Australia,battery_drop_off,battery_dropoff_but_branch_check_recommended,ChIJXdzI8mVNFmsRipJn2mLYdmc,ALDI,"148 Bunda St, Canberra ACT 2601, Australia",148 Bunda St,ACT,2601,-35.27906,149.13353999999998,13 25 34,https://www.aldi.com.au/storelocator/l/canberra/148-bunda-street/g483,https://maps.google.com/?cid=7455384152241050250&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,grocery_store,grocery_store|supermarket|food_store|store|food|point_of_interest|establishment,used household batteries only; not a general e-waste provider,Battery-only supermarket drop-off candidate. Verify branch-level availability.,True,True,True,1.0,True,battery_only,battery_drop_off,household batteries only; not general e-waste,Supermarket or hardware chain treated as battery-only collection point.,True,False
ACT,Australian Capital Territory,Aldi,Aldi battery recycling ACT Australia,battery_drop_off,battery_dropoff_but_branch_check_recommended,ChIJrZn-6zKzF2sRj-Zb5ercp44,ALDI,"4 Gornall St, Wright ACT 2611, Australia",4 Gornall St,ACT,2611,-35.3214552,149.03715169999998,13 25 34,https://www.aldi.com.au/storelocator/l/wright/4-gornall-street/g656,https://maps.google.com/?cid=10279427575924909711&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,grocery_store,grocery_store|supermarket|food_store|store|food|point_of_interest|establishment,used household batteries only; not a general e-waste provider,Battery-only supermarket drop-off candidate. Verify branch-level availability.,True,True,True,1.0,True,battery_only,battery_drop_off,household batteries only; not general e-waste,Supermarket or hardware chain treated as battery-only collection point.,True,False
ACT,Australian Capital Territory,Aldi,Aldi battery recycling ACT Australia,battery_drop_off,battery_dropoff_but_branch_check_recommended,ChIJL9uFTuRNFmsRp6QrAMgH9jQ,ALDI,"18-26 Spitfire Ave, Canberra Airport ACT 2609, Australia",18-26 Spitfire Ave,ACT,2609,-35.3002566,149.1907936,13 25 34,https://www.aldi.com.au/storelocator/l/majura-park/18-26-spitfire-avenue/g528,https://maps.google.com/?cid=3816246289820787879&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,grocery_store,grocery_store|supermarket|food_store|store|food|point_of_interest|establishment,used household batteries only; not a general e-waste provider,Battery-only supermarket drop-off candidate. Verify branch-level availability.,True,True,True,1.0,True,battery_only,battery_drop_off,household batteries only; not general e-waste,Supermarket or hardware chain treated as battery-only collection point.,True,False
ACT,Australian Capital Territory,Aldi,Aldi battery recycling ACT Australia,battery_drop_off,battery_dropoff_but_branch_check_recommended,ChIJIfBrfHutF2sRRPgyS9QpiQI,ALDI,"20 Benjamin Way, Belconnen ACT 2617, Australia",20 Benjamin Way,ACT,2617,-35.23885,149.06619,13 25 34,https://www.aldi.com.au/storelocator/l/belconnen/20-benjamin-way/g502,https://maps.google.com/?cid=182723251656652868&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,grocery_store,grocery_store|supermarket|food_store|store|food|point_of_interest|establishment,used household batteries only; not a general e-waste provider,Battery-only supermarket drop-off candidate. Verify branch-level availability.,True,True,True,1.0,True,battery_only,battery_drop_off,household batteries only; not general e-waste,Supermarket or hardware chain treated as battery-only collection point.,True,False
ACT,Australian Capital Territory,Aldi,Aldi battery recycling ACT Australia,battery_drop_off,battery_dropoff_but_branch_check_recommended,ChIJQW6tAWS0F2sRNftxkW91-ss,ALDI,"26 Brierly St, Weston ACT 2611, Australia",26 Brierly St,ACT,2611,-35.34144560000001,149.05265559999998,13 25 34,https://www.aldi.com.au/storelocator/l/weston/26-brierly-street/g488,https://maps.google.com/?cid=14698189455919020853&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,grocery_store,grocery_store|supermarket|food_store|store|food|point_of_interest|establishment,used household batteries only; not a general e-waste provider,Battery-only supermarket drop-off candidate. Verify branch-level availability.,True,True,True,1.0,True,battery_only,battery_drop_off,household batteries only; not general e-waste,Supermarket or hardware chain treated as battery-only collection point.,True,False
ACT,Australian Capital Territory,Aldi,Aldi battery recycling ACT Australia,battery_drop_off,battery_dropoff_but_branch_check_recommended,ChIJpbHuv-atF2sRcXEcX9ssg6U,ALDI,"50/60 Hardwick Cres, Holt ACT 2615, Australia",50/60 Hardwick Cres,ACT,2615,-35.2212764,149.01909899999998,13 25 34,https://www.aldi.com.au/storelocator/l/holt/50-60-hardwick-crescent/g466,https://maps.google.com/?cid=11926425558912364913&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,grocery_store,grocery_store|supermarket|food_store|store|food|point_of_interest|establishment,used household batteries only; not a general e-waste provider,Battery-only supermarket drop-off candidate. Verify branch-level availability.,True,True,True,1.0,True,battery_only,battery_drop_off,household batteries only; not general e-waste,Supermarket or hardware chain treated as battery-only collection point.,True,False
ACT,Australian Capital Territory,Aldi,Aldi battery recycling ACT Australia,battery_drop_off,battery_dropoff_but_branch_check_recommended,ChIJ05OqgZ2yF2sRc-oUxb0Wc8w,ALDI,"1 Bowman St, Macquarie ACT 2614, Australia",1 Bowman St,ACT,2614,-35.25249,149.07152,13 25 34,https://www.aldi.com.au/storelocator/l/macquarie/1-bowman-street/g482,https://maps.google.com/?cid=14732143810370136691&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,grocery_store,grocery_store|supermarket|food_store|store|food|point_of_interest|establishment,used household batteries only; not a general e-waste provider,Battery-only supermarket drop-off candidate. Verify branch-level availability.,True,True,True,1.0,True,battery_only,battery_drop_off,household batteries only; not general e-waste,Supermarket or hardware chain treated as battery-only collection point.,True,False
ACT,Australian Capital Territory,Aldi,Aldi battery recycling ACT Australia,battery_drop_off,battery_dropoff_but_branch_check_recommended,ChIJAUBdK1erF2sRuaCDr8YsOSc,ALDI,"15 Kingsland Parade, Casey ACT 2913, Australia",15 Kingsland Parade,ACT,2913,-35.174838099999995,149.09534349999998,13 25 34,https://www.aldi.com.au/storelocator/l/casey/15-kingsland-parade/g526,https://maps.google.com/?cid=2826339473011482809&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,grocery_store,grocery_store|supermarket|food_store|store|food|point_of_interest|establishment,used household batteries only; not a general e-waste provider,Battery-only supermarket drop-off candidate. Verify branch-level availability.,True,True,True,1.0,True,battery_only,battery_drop_off,household batteries only; not general e-waste,Supermarket or hardware chain treated as battery-only collection point.,True,False
ACT,Australian Capital Territory,Aldi,Aldi battery recycling ACT Australia,battery_drop_off,battery_dropoff_but_branch_check_recommended,ChIJr8peE5zKF2sRDzXF1Gmf-0U,ALDI,"Cnr Anketell Street, Soward Way, Greenway ACT 2900, Australia",Soward Way,ACT,2900,-35.41794,149.06867,13 25 34,https://www.aldi.com.au/storelocator/l/tuggeranong/150-180-soward-way/g472,https://maps.google.com/?cid=5042799484661478671&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,grocery_store,grocery_store|supermarket|food_store|store|food|point_of_interest|establishment,used household batteries only; not a general e-waste provider,Battery-only supermarket drop-off candidate. Verify branch-level availability.,True,True,True,1.0,True,battery_only,battery_drop_off,household batteries only; not general e-waste,Supermarket or hardware chain treated as battery-only collection point.,True,False
ACT,Australian Capital Territory,Aldi,Aldi battery recycling ACT Australia,battery_drop_off,battery_dropoff_but_branch_check_recommended,ChIJO4Ivf5tUFmsR9mKNI9UM1Pg,ALDI,"Marketplace Gungahlin Shopping Center, 33 Hibberson St, Gungahlin ACT 2912, Australia",33 Hibberson St,ACT,2912,-35.1848509,149.1331888,13 25 34,https://www.aldi.com.au/?utm_source=google&utm_medium=Yext&utm_campaign=S0053,https://maps.google.com/?cid=17929970126032823030&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,grocery_store,grocery_store|supermarket|food_store|store|point_of_interest|food|establishment,used household batteries only; not a general e-waste provider,Battery-only supermarket drop-off candidate. Verify branch-level availability.,True,True,True,1.0,True,battery_only,battery_drop_off,household batteries only; not general e-waste,Supermarket or hardware chain treated as battery-only collection point.,True,False
