report_year,state,metal,total_air_emission_kg,total_water_emission_kg,total_land_emission_kg,facility_count
1998/1999,ACT,Cadmium,98.03,0,0,3
1998/1999,ACT,Lead,780.04,0,0,2
1998/1999,ACT,Mercury,133.52,0,0,2
1998/1999,NSW,Cadmium,70.73443999999999,0.2,0.0073,20
1998/1999,NSW,Lead,1626.623998,1.4335,133.1546,44
1998/1999,NSW,Mercury,274.10456,0,4.1e-05,26
1998/1999,NT,Cadmium,48.745258557084,0.001,0,37
1998/1999,NT,Lead,4098.979129456395,1.61,0,21
1998/1999,NT,Mercury,25.4236877368898,0.0005,0,14
1998/1999,QLD,Cadmium,259.0931,35.062999999999995,0,21
1998/1999,QLD,Lead,4043.6655,164.62,150.07,37
1998/1999,QLD,Mercury,811.603,15.46,0,19
1998/1999,SA,Cadmium,44.22002,15.95,0.008,14
1998/1999,SA,Lead,580.12029,10239.8,0.08,15
1998/1999,SA,Mercury,14.2000047,27.5,0.0084,14
1998/1999,TAS,Cadmium,9.033,0,0,7
1998/1999,TAS,Lead,81.172,257.23199999999997,0,11
1998/1999,TAS,Mercury,7.669999999999999,16,0,6
1998/1999,VIC,Cadmium,66.96770000000001,1,0,29
1998/1999,VIC,Lead,347.3042,2.84,0,33
1998/1999,VIC,Mercury,41.5947,1,0,30
1998/1999,WA,Cadmium,500.4930169999999,263.72528,29.665,52
1998/1999,WA,Lead,8302.7720355,512.75268,387.0801,68
1998/1999,WA,Mercury,929.579237521,36.05748,8.1421,51
1999/2000,ACT,Cadmium,122.7785,3.200000172,0,8
1999/2000,ACT,Lead,205.83522,14.600000773,0,7
1999/2000,ACT,Mercury,245.51932,4.9000000073,0,9
1999/2000,NSW,Cadmium,1012.240981,626.35,19.995435691999997,67
1999/2000,NSW,Lead,33906.471275,1864.9419825,1607.872118,96
1999/2000,NSW,Mercury,1057.248501,4.34,1.57,66
1999/2000,NT,Cadmium,131.6562645869456,13,6.866765792800001,55
1999/2000,NT,Lead,7655.22860170943,11.1,716.10004695,37
1999/2000,NT,Mercury,42.97806100841823,0.4,1.7624628161000002,31
1999/2000,QLD,Cadmium,7869.1602746088,119.546541623,1398.3106308705055,136
1999/2000,QLD,Lead,563359.105284053,1099.907713596,2381.976025917156,152
1999/2000,QLD,Mercury,3265.6209549966247,5.275355446,3.60795506587696,132
1999/2000,SA,Cadmium,153.28453,1116.14,0.0482,49
1999/2000,SA,Lead,28744.238663,22942.857,0.280583,56
1999/2000,SA,Mercury,38.354927,26.85,0.0317999999999999,50
1999/2000,TAS,Cadmium,48.1503,1589.4623,0.3,44
1999/2000,TAS,Lead,4274.2853,4976.044,296.7,47
1999/2000,TAS,Mercury,175.03073,40.2746,0,39
1999/2000,VIC,Cadmium,274.3996,86.181,270,104
1999/2000,VIC,Lead,4081.8027,1439.555,7020.567,115
1999/2000,VIC,Mercury,654.5386,27.00602,10,105
1999/2000,WA,Cadmium,1663.538224194,247.42227,235.79976,98
1999/2000,WA,Lead,71888.39160336,779.689,33883.711000595,124
1999/2000,WA,Mercury,2142.58890776,30.63943,44.40282005,93
2000/2001,ACT,Cadmium,41.3280047,3.42,0.0034,6
2000/2001,ACT,Lead,51.6479,14.63,0.019,5
2000/2001,ACT,Mercury,87.4641,0,0,3
2000/2001,NSW,Cadmium,865.1028,910.728,21,96
2000/2001,NSW,Lead,44466.754447,3712.7117,351.758,127
2000/2001,NSW,Mercury,1415.0615088,37.5163,1.31,102
2000/2001,NT,Cadmium,139.54271076,978.23,4.209535,30
2000/2001,NT,Lead,11143.646502839,19346,854.9151589999999,33
2000/2001,NT,Mercury,33.663849635,1,1.9971543,26
2000/2001,QLD,Cadmium,7797.4685472987,129.553944599,1167.0901442097172,197
2000/2001,QLD,Lead,276280.823188916,1899.36772442,871.410157666186,217
2000/2001,QLD,Mercury,2007.0111387735035,17.152795162,1.33197170923471,201
2000/2001,SA,Cadmium,3372.81971,922.74,0.0334,55
2000/2001,SA,Lead,91444.246265,13670.6,0.2213,54
2000/2001,SA,Mercury,175.48066899999998,33.4,0.1017,57
2000/2001,TAS,Cadmium,82.0678,1059.462492,0,37
2000/2001,TAS,Lead,3191.671,4303.698263,5652.5,40
2000/2001,TAS,Mercury,300.93143299999997,38.85621,0,36
2000/2001,VIC,Cadmium,863.0292000000001,307.53,200.303342,143
2000/2001,VIC,Lead,4567.21762,1529.05,5281.415141,156
2000/2001,VIC,Mercury,407.358204,65,10.01300727,149
2000/2001,WA,Cadmium,1473.717075,612.87,43.597600134,125
2000/2001,WA,Lead,68178.483909,5437.9169999999995,43980.542350595,152
2000/2001,WA,Mercury,2274.377392,11.693137,38.906500005,116
2001/2002,ACT,Cadmium,8.004,1.379,0.00233,2
2001/2002,ACT,Lead,84.1025,14.7914,0.0238,4
2001/2002,ACT,Mercury,3.0515,0,0,2
2001/2002,NSW,Cadmium,1258.091412,550.7111,19.43,130
2001/2002,NSW,Lead,39591.995993,8935.45,390.138,172
2001/2002,NSW,Mercury,1154.4199447,7.76510025,1.09,134
2001/2002,NT,Cadmium,141.484714973,28.185263538999997,0.912006539,31
2001/2002,NT,Lead,14231.85423403,25.514443144,11.907494147,34
2001/2002,NT,Mercury,29.359152838,2.4623294369999997,0.068651117,29
2001/2002,QLD,Cadmium,10276.47138184812,120.373888,140.609594392,221
2001/2002,QLD,Lead,442887.021279331,721.2873411,185215.169334268,243
2001/2002,QLD,Mercury,1836.58408177613,4.732406405,7.3808758028,223
2001/2002,SA,Cadmium,3222.44002,835,0.2158999999999999,75
2001/2002,SA,Lead,76350.91849,11366.6325,0.3462,78
2001/2002,SA,Mercury,1014.1337,29.0511,54.42626,77
2001/2002,TAS,Cadmium,84.15332599999999,993.899,9.673717575,47
2001/2002,TAS,Lead,3046.6736,4556.621,29.554236085,49
2001/2002,TAS,Mercury,387.17797297,40.076,0.006992868,47
2001/2002,VIC,Cadmium,330.8652,691.1,337.986109,182
2001/2002,VIC,Lead,5270.3683,913.173,7390.12477,199
2001/2002,VIC,Mercury,467.945959,53.774,112.8849828,188
2001/2002,WA,Cadmium,1695.36391111,346.947033117,381.262935,139
2001/2002,WA,Lead,57673.780890248,1649.30156134,1988.416978,174
2001/2002,WA,Mercury,2439.294433473,11.087056508,38.04261536,134
2002/2003,ACT,Cadmium,5.065,1.9030000029802323,0.003,5
2002/2003,ACT,Lead,67.2527,5.676,0.01,4
2002/2003,ACT,Mercury,12.907,0.1000000014901161,0,4
2002/2003,NSW,Cadmium,1323.6733125,851.6100328,243.32457,148
2002/2003,NSW,Lead,38191.9842548,3627.411015,6723.079,193
2002/2003,NSW,Mercury,1605.8574269,12.24067176,39.232479999999995,157
2002/2003,NT,Cadmium,136.97870096713186,28.170101251787855,0.7138544459120019,26
2002/2003,NT,Lead,14553.433721696145,26.56003514677286,10.195849056682922,31
2002/2003,NT,Mercury,29.860933632652248,0.6808120721912927,0.0385606926988635,24
2002/2003,QLD,Cadmium,7830.3728000176,100.7656,500.9182,249
2002/2003,QLD,Lead,402550.556800008,910.891,40610.3079,267
