state,year_label,substance_name,air_total_emission_kg_sum,water_emission_kg_sum,land_emission_kg_sum,facility_count
ACT,1998-1999,Ammonia (total),0.0,942.0,0.0,1
ACT,1998-1999,Arsenic & compounds,28.200000000000003,0.0,0.0,2
ACT,1998-1999,Benzene,1350.2,1.0,1.0,4
ACT,1998-1999,Cadmium & compounds,98.03,0.0,0.0,3
ACT,1998-1999,Carbon monoxide,78302.56000000001,0.0,0.0,5
ACT,1998-1999,Chlorine & compounds,6868.8,0.0,0.0,1
ACT,1998-1999,Cumene (1-methylethylbenzene),33.0,1.0,1.0,2
ACT,1998-1999,Cyclohexane,64.0,1.0,1.0,2
ACT,1998-1999,Ethylbenzene,23.0,1.0,1.0,2
ACT,1998-1999,Fluoride compounds,476.24,27500.0,0.0,2
ACT,1998-1999,Hydrochloric acid,14653.44,0.0,0.0,1
ACT,1998-1999,Hydrogen sulfide,10318.2,0.0,0.0,1
ACT,1998-1999,Lead & compounds,780.04,0.0,0.0,2
ACT,1998-1999,Mercury & compounds,133.52,0.0,0.0,2
ACT,1998-1999,Nickel & compounds,1.36,0.0,0.0,1
ACT,1998-1999,Oxides of Nitrogen,35062.59,0.0,0.0,5
ACT,1998-1999,Particulate Matter ≤10.0 µm (PM10),7508.6,0.0,0.0,3
ACT,1998-1999,Polychlorinated dioxins and furans (TEQ),0.0003,0.0,0.0,1
ACT,1998-1999,Polycyclic aromatic hydrocarbons (B[a]Peq),842.834,0.0,0.0,4
ACT,1998-1999,Sulfur dioxide,6746.07,0.0,0.0,4
ACT,1998-1999,Sulfuric acid,247.28,0.0,0.0,1
ACT,1998-1999,Toluene (methylbenzene),1443.9,1.0,1.0,5
ACT,1998-1999,Total Nitrogen,0.0,801099.9,0.0,2
ACT,1998-1999,Total Phosphorus,0.0,3281.9,0.0,2
ACT,1998-1999,Total Volatile Organic Compounds,20035.13,0.0,0.0,3
ACT,1998-1999,Xylenes (individual or mixed isomers),441.7,1.0,1.0,5
ACT,1998-1999,n-Hexane,413.0,1.0,1.0,2
ACT,1999-2000,"1,2-Dibromoethane",1.1,0.0,0.0,1
ACT,1999-2000,"1,2-Dichloroethane",0.0,1.227e-07,0.0,2
ACT,1999-2000,"1,3-Butadiene (vinyl ethylene)",4.2,0.0,0.0,1
ACT,1999-2000,Ammonia (total),16.0,1105.0,0.0,2
ACT,1999-2000,Antimony & compounds,0.0,8.1e-07,0.0,2
ACT,1999-2000,Arsenic & compounds,8.11443,16.901500172,25.5,9
ACT,1999-2000,Benzene,1751.2,0.500000454,0.5,6
ACT,1999-2000,Beryllium & compounds,0.000725,5.89e-08,0.0,4
ACT,1999-2000,Cadmium & compounds,122.77850000000001,3.200000172,0.0,8
ACT,1999-2000,Carbon monoxide,183446.4,0.0,0.0,10
ACT,1999-2000,Chlorine & compounds,6940.0,890.00724,0.0,5
ACT,1999-2000,Chloroform (trichloromethane),0.0,392.000000356,0.0,4
ACT,1999-2000,"Chlorophenols (di, tri, tetra)",0.0,6.3e-09,0.0,2
ACT,1999-2000,Chromium (III) compounds,25.668799999999997,19.0,0.0,5
ACT,1999-2000,Chromium (VI) compounds,0.13502,0.004500736,21.6,6
ACT,1999-2000,Cobalt & compounds,10.5,0.0,0.0,1
ACT,1999-2000,Copper & compounds,5.353689999999999,277.001900663,12.8,8
ACT,1999-2000,Cumene (1-methylethylbenzene),4.9,0.5,0.5,3
ACT,1999-2000,Cyclohexane,87.0,0.5,0.5,2
ACT,1999-2000,Dichloromethane,0.0,4.0000054,0.0,3
ACT,1999-2000,Ethylbenzene,51.1,0.500000712,0.5,5
ACT,1999-2000,Fluoride compounds,514.0,25400.0,0.0,5
ACT,1999-2000,Hydrochloric acid,12811.0,0.0,0.0,4
ACT,1999-2000,Hydrogen sulfide,11098.0,0.0,0.0,2
ACT,1999-2000,Lead & compounds,205.83522,14.600000773,0.0,7
ACT,1999-2000,Manganese & compounds,3.9,898.0,0.0,3
ACT,1999-2000,Mercury & compounds,245.51932,4.9000000073,0.0,9
ACT,1999-2000,Nickel & compounds,62.929,208.00000212,0.0,9
ACT,1999-2000,Oxides of Nitrogen,111447.08,0.0,0.0,10
ACT,1999-2000,Particulate Matter ≤10.0 µm (PM10),33652.8,0.0,0.0,9
ACT,1999-2000,Phenol,0.0,4.67e-06,0.0,2
ACT,1999-2000,Phosphoric acid,110.0,0.0,0.0,1
ACT,1999-2000,Polychlorinated dioxins and furans (TEQ),9.3e-05,0.0,0.0,2
ACT,1999-2000,Polycyclic aromatic hydrocarbons (B[a]Peq),10.476301,0.0,0.0,7
ACT,1999-2000,Selenium & compounds,3.3703,1.0,0.0,2
ACT,1999-2000,Sulfur dioxide,46979.58,0.0,0.0,10
ACT,1999-2000,Sulfuric acid,2230.0,0.0,0.0,2
ACT,1999-2000,Toluene (methylbenzene),3075.9,0.5,0.5,6
ACT,1999-2000,Total Nitrogen,0.0,810185.0,0.0,2
ACT,1999-2000,Total Phosphorus,0.0,3108.0,0.0,2
ACT,1999-2000,Total Volatile Organic Compounds,196997.5,10.7,10.7,13
ACT,1999-2000,Vinyl Chloride Monomer,0.0,4.91e-07,0.0,2
ACT,1999-2000,Xylenes (individual or mixed isomers),456.8,0.5,0.5,5
ACT,1999-2000,Zinc and compounds,0.0,507.0000084,0.0,4
ACT,1999-2000,n-Hexane,1545.1,0.5,0.5,4
ACT,2000-2001,"1,2-Dibromoethane",0.1,0.0,0.0,1
ACT,2000-2001,Acetic acid (ethanoic acid),670.0,0.0,0.0,1
ACT,2000-2001,Ammonia (total),10.43,1466.0,0.0,2
ACT,2000-2001,Arsenic & compounds,0.08040080000000001,19.1415,25.522,7
ACT,2000-2001,Benzene,1244.904,0.5,0.5,7
ACT,2000-2001,Beryllium & compounds,0.00165,0.0,0.0,2
ACT,2000-2001,Cadmium & compounds,41.3280047,3.42,0.0034,6
ACT,2000-2001,Carbon monoxide,148267.42,0.0,0.0,9
ACT,2000-2001,Chlorine & compounds,3902.53,7.44,9.3,3
ACT,2000-2001,Chloroform (trichloromethane),0.0,2.0,0.0,1
ACT,2000-2001,Chromium (III) compounds,0.724,20.0045,21.6,5
ACT,2000-2001,Chromium (VI) compounds,0.036699999999999997,0.0,0.0,3
ACT,2000-2001,Cobalt & compounds,0.8312999999999999,18.17,0.0258,3
ACT,2000-2001,Copper & compounds,2.9167,724.1319,13.279,5
ACT,2000-2001,Cumene (1-methylethylbenzene),3.9,0.5,0.5,3
ACT,2000-2001,Cyclohexane,65.0,0.5,0.5,2
