emissions_metric,health_metric,n_state_year_pairs,pearson_corr,abs_pearson_corr
chromium_water_kg,age_standardised_rate_per_100000,40,0.5021736124920689,0.5021736124920689
total_land_emission_kg,age_standardised_rate_per_100000,40,-0.4024830587110435,0.4024830587110435
mercury_air_kg,age_standardised_rate_per_100000,40,-0.382002878627601,0.382002878627601
copper_air_kg,age_standardised_rate_per_100000,40,-0.31645445996661375,0.31645445996661375
total_air_emission_kg,age_standardised_rate_per_100000,40,-0.30764593874195223,0.30764593874195223
nickel_air_kg,age_standardised_rate_per_100000,40,-0.2948989626561723,0.2948989626561723
pm10_air_kg,age_standardised_rate_per_100000,40,-0.293551911613299,0.293551911613299
pm25_air_kg,age_standardised_rate_per_100000,40,-0.2925777850257141,0.2925777850257141
chromium_air_kg,age_standardised_rate_per_100000,40,-0.2837303168118444,0.2837303168118444
cadmium_land_kg,age_standardised_rate_per_100000,40,-0.2518107781223825,0.2518107781223825
cadmium_air_kg,age_standardised_rate_per_100000,40,-0.2452689905979453,0.2452689905979453
tvoc_air_kg,age_standardised_rate_per_100000,40,-0.24365580899308484,0.24365580899308484
total_water_emission_kg,age_standardised_rate_per_100000,40,-0.22074292383035868,0.22074292383035868
chromium_land_kg,age_standardised_rate_per_100000,40,-0.21106753349390786,0.21106753349390786
mercury_land_kg,age_standardised_rate_per_100000,40,-0.1978739685409308,0.1978739685409308
copper_land_kg,age_standardised_rate_per_100000,40,-0.19570886091391035,0.19570886091391035
copper_water_kg,age_standardised_rate_per_100000,40,-0.17784092339679944,0.17784092339679944
nickel_water_kg,age_standardised_rate_per_100000,40,-0.16422372891454975,0.16422372891454975
nickel_land_kg,age_standardised_rate_per_100000,40,-0.15581253381940272,0.15581253381940272
zinc_land_kg,age_standardised_rate_per_100000,40,-0.13497184607072804,0.13497184607072804
zinc_air_kg,age_standardised_rate_per_100000,40,-0.13044218491316123,0.13044218491316123
lead_land_kg,age_standardised_rate_per_100000,40,-0.12388847978724814,0.12388847978724814
mercury_water_kg,age_standardised_rate_per_100000,40,0.09462802847816906,0.09462802847816906
lead_air_kg,age_standardised_rate_per_100000,40,-0.0617807637647027,0.0617807637647027
lead_water_kg,age_standardised_rate_per_100000,40,-0.04938587609797758,0.04938587609797758
zinc_water_kg,age_standardised_rate_per_100000,40,-0.02601667820782402,0.02601667820782402
cadmium_water_kg,age_standardised_rate_per_100000,40,0.006921701160679794,0.006921701160679794
pm10_land_kg,age_standardised_rate_per_100000,40,,
pm10_water_kg,age_standardised_rate_per_100000,40,,
pm25_land_kg,age_standardised_rate_per_100000,40,,
pm25_water_kg,age_standardised_rate_per_100000,40,,
tvoc_land_kg,age_standardised_rate_per_100000,40,,
tvoc_water_kg,age_standardised_rate_per_100000,40,,
zinc_water_kg,crude_rate_per_100000,40,0.8048145994052085,0.8048145994052085
cadmium_water_kg,crude_rate_per_100000,40,0.7249462492498453,0.7249462492498453
