state,year_label,total_air_emission_kg,total_water_emission_kg,total_land_emission_kg,lead_air_kg,lead_water_kg,lead_land_kg,mercury_air_kg,mercury_water_kg,mercury_land_kg,cadmium_air_kg,cadmium_water_kg,cadmium_land_kg,nickel_air_kg,nickel_water_kg,nickel_land_kg,chromium_air_kg,chromium_water_kg,chromium_land_kg,copper_air_kg,copper_water_kg,copper_land_kg,zinc_air_kg,zinc_water_kg,zinc_land_kg,tvoc_air_kg,tvoc_water_kg,tvoc_land_kg,pm10_air_kg,pm10_water_kg,pm10_land_kg,pm25_air_kg,pm25_water_kg,pm25_land_kg,start_year,end_year,health_year,population,deaths,crude_rate_per_100000,age_standardised_rate_per_100000,premature_deaths,premature_deaths_percent,premature_deaths_asr_per_100000,potential_years_of_life_lost,pyll_rate_per_1000,potentially_avoidable_deaths,pad_percent,pad_asr_per_100000,median_age,alignment_used
ACT,2019-2020,584901.2872008971,867515.72,584.314774310174,10.086870760096875,288.6,0.041574862,5.388433418941406,1.4,0.000395951,1.4622099412109375,0.0,0.009238858,2.424651946679688,11.5,0.112186135,3.03864066044922,0.28,0.039595106,6.41046818984375,8.7,0.035635596,9.520816407226564,17.3,0.448744539,37830.422724350894,0.0,0.0,162770.25486463966,0.0,0.0,5571.670255659781,0.0,0.0,2019,2020,2019,435730,2033,466.6,462.7,659,32.4,154.0,10914,26.4,323,49.0,75.6,82.6,start_year
ACT,2020-2021,1179043.4875542948,1027569.4035626143,639.5154484571591,5.815891979625,372.2,0.8457063,4.728297306,2.0,0.000635298,1.7076414,1.1914,0.0102569999999999,63.5175536,212.9,0.1315339999999999,86.9980384,36.3657,0.0475298,42.668588,357.2347,0.0565768,97.732744,204.8,0.493338,27654.58544892981,0.0,0.0,243489.167352,0.0,0.0,6012.376545,0.0,0.0,2020,2021,2020,444903,2162,485.9,472.9,739,34.2,166.8,13048,31.0,381,51.6,86.8,81.6,start_year
ACT,2021-2022,1070146.542249323,1088974.33295,687.907893558232,9.9426948477375,6.427899999999999,0.0503049999999999,5.41091633,2.21005,0.00067881,1.0674512,1.4904,0.0112188999999999,0.7056336,233.5422,0.142836,3.6862812,0.4014,0.047481,1.5211557000000002,381.2398,0.0592928999999999,39.435694,224.8041,0.538118,24022.46599131427,0.0,0.0,77355.4557,0.0,0.0,4387.035,0.0,0.0,2021,2022,2021,452508,2207,487.7,464.7,761,34.5,169.8,13502,31.6,372,48.9,83.2,81.6,start_year
ACT,2022-2023,1185865.1501358023,1048964.29819,710.163676939851,22.19967585,6.18079,0.0539175,3.91205218,2.1822,0.000611596,2.8170123,1.2261000000000002,0.0119972,16.2527308,239.2663,0.148952,8.7850583,8.947600000000001,0.0511596,3.5580437,506.7488,0.0600435999999999,96.886855,237.6556,0.579808,29341.388545,0.0,0.0,167807.682645,0.0,0.0,10460.016725,0.0,0.0,2022,2023,2022,456915,2563,560.9,518.8,854,33.3,189.6,14386,33.5,413,48.4,92.6,81.8,start_year
ACT,2023-2024,1305285.3922634083,1091754.4389,763.433918843605,35.711825,6.7,0.0578066,5.942768,1.93,0.000648634,3.6654603,2.0099,0.0128515,20.7676972,220.716,0.159446,8.5354042,36.7196,0.0568634,21.213904,391.9028,0.0593771,154.436652,201.5,0.621786,25383.883819,0.0,0.0,242085.214727,0.0,0.0,16271.628007,0.0,0.0,2023,2024,2023,466566,2406,515.7,473.4,741,30.8,164.7,13986,32.0,348,47.0,77.6,81.6,start_year
NSW,2019-2020,698867532.5645477,42831629.92094372,722809.9233281645,40459.85067563155,123.918318728,82094.18854260436,475.79117844257,9.4947584166375,25.419265428244078,890.290147033434,5.9671847806,80.65225618119136,7839.49321671501,1201.750500134,1808.6937454642048,14440.559048165109,127.254192219,20404.804443739136,89699.64991702796,35625.346286954,2711.3053406915515,129655.81524771062,47820.28249303,139107.7882822091,8704402.877262766,0.0,0.0,129218831.93267052,0.0,0.0,4003611.8351432746,0.0,0.0,2019,2020,2019,8046748,56042,696.5,531.5,18433,32.9,206.4,289606,38.8,8883,48.2,101.9,82.1,start_year
NSW,2020-2021,681711550.1885842,45683686.671493135,702567.2019531796,39897.78027214701,1031.17841459,74989.25988111453,494.665936027536,22.7491884,13.112764468185985,738.7889064823628,7.052541459,0.5072504253396226,8821.157311695993,1259.74702159,128.51422944269544,17678.846940986547,149.95327458999998,48870.8259302286,97627.19590439844,34903.03633884,20750.91882114674,118905.98997734216,38625.126351,153594.16610816077,7470295.168174881,0.0,0.0,123795260.5176417,0.0,0.0,3955589.159598439,0.0,0.0,2020,2021,2020,8110610,52485,647.1,485.7,17281,32.9,189.7,266904,35.5,8388,48.5,94.4,82.1,start_year
NSW,2021-2022,672393269.2287047,46160781.55015526,514405.7037370002,32288.53139014289,206.979484741,80452.529065354,536.0904485403,10.63827652,12.5119363236,717.763385691,29.234923302,2.4927233148,9352.32070003,1275.723893513,20.084957858,15350.6888461574,473.431166798,28025.489419593,93729.905051078,33751.050439097,57.38373643,105697.51114766,46953.771311037,150856.468672058,6811026.2443692,0.0,0.0,119888265.56930904,0.0,0.0,3815998.83719589,0.0,0.0,2021,2022,2021,8097062,56525,698.1,509.5,17860,31.6,193.8,272402,36.4,8323,46.6,92.8,82.4,start_year
NSW,2022-2023,664075571.2189045,40611696.37193801,370922.7711582825,25173.04513494517,227.504976,38316.773969426,574.03328953921,16.838771285,0.737538849,575.89748190784,20.04393635,4.940780323042,9140.5997195588,1761.15446,15.47885813042,13660.71481170258,1197.803998,16601.091993514998,87971.56445115367,29855.45331838,198.30816517,96398.62599425,43311.500662,90106.8632268642,6539330.76995266,0.0,0.0,120484229.75900207,0.0,0.0,3652231.295963485,0.0,0.0,2022,2023,2022,8166704,62980,771.2,553.4,19076,30.3,205.5,284022,37.8,8795,46.1,97.0,82.7,start_year
NSW,2023-2024,652108466.4465578,42939057.22828706,434813.0591290326,30164.428528167857,415.59655124,35039.1913350365,532.078928062388,17.729807895,0.305678676775,697.7648788507186,2.69807725,1.89718200955,9749.155238457286,1222.574811,18.22752879775,14037.495171688068,366.445859,14424.8408529815,96826.85619922036,34513.7527532,190.69765105475,107106.32403087048,44309.173596,81161.745338387,6816759.178726967,0.0,0.0,123763287.53733508,0.0,0.0,3672392.6907220767,0.0,0.0,2023,2024,2023,8342285,59451,712.6,512.3,18095,30.4,192.8,268883,35.1,8409,46.5,91.5,82.4,start_year
NT,2019-2020,82370866.32585977,1105100.0788185662,19536.70945358051,22912.028228868,43.8279373022,18.347508629550862,12.712869167772755,3.50746751364,1.7211240358528654,124.896229969,6.32238742576,1.860842464566858,2219.413369524,408.8593289322,36.42933350831185,6400.757779749,430.55917712254,17.740936285286537,2802.68639642,90.4577582322,21.78166470675788,36384.22337677,301.60986180000003,107.4153306332474,6190495.260496701,0.0,0.0,31400941.43085537,0.0,0.0,723324.3325956019,0.0,0.0,2019,2020,2019,246559,1142,463.2,742.1,776,68.0,355.6,17644,73.3,476,61.3,214.8,66.2,start_year
NT,2020-2021,84776819.16823085,1356795.496417686,45294.961349669386,21568.057983086,63.54343770231,24.83487110306352,10.077251368676524,1.128523512772,2.376539966695843,123.052524835,2.836747421848,2.5312438132363377,2068.3227939880003,380.05813500231,61.681718667155536,6229.758001336,246.538343321617,24.247368049584303,2754.747383444,59.21697970231,34.16146520262588,33987.657443114,454.876976,131.13949878862212,7826408.716644458,0.0,0.0,32752956.39172598,0.0,0.0,703073.487212888,0.0,0.0,2020,2021,2020,247428,1141,461.1,690.5,792,69.4,355.7,17917,74.2,460,58.1,203.7,67.4,start_year
NT,2021-2022,96332746.5269294,1165897.0803089628,43550.81926883247,25249.846320985303,55.725523958885,33.41899277,14.2285602054,1.470190475662,3.3399975690000003,153.1219286511,2.582419617108,3.832500167,3016.0124280187,252.32505965888495,160.30263438,10265.5398228084,510.9976801212195,32.04510419,3295.8026109,60.510732858885,56.91999955,37409.85389082,323.64017,226.6463405,14285318.643882168,0.0,0.0,29010338.44566982,0.0,0.0,822819.7462484175,0.0,0.0,2021,2022,2021,248151,1211,488.0,721.4,795,65.6,347.0,17600,72.8,454,57.1,196.3,67.2,start_year
NT,2022-2023,83245561.08316393,970646.612556146,50401.97634633813,27939.2544517639,613.04932295,34.64416288,14.6260201091,30.211291075,3.2974246629,160.21261023649998,30.129727045000003,3.5821730400000003,2853.5672035121,344.3814189,68.87170760000001,10558.4913635878,14963.8803815,34.00061289999999,3189.9801934,320.113016,37.58659257,41676.454822789,1544.3643752,236.264777,6099495.272906908,0.0,0.0,29306746.158757918,0.0,0.0,823391.7491479131,0.0,0.0,2022,2023,2022,250228,1338,534.7,763.4,883,66.0,383.5,19624,80.7,522,59.1,224.9,67.8,start_year
