state,health_year,population,deaths,crude_rate_per_100000,age_standardised_rate_per_100000,premature_deaths,premature_deaths_percent,premature_deaths_asr_per_100000,potential_years_of_life_lost,pyll_rate_per_1000,potentially_avoidable_deaths,pad_percent,pad_asr_per_100000,median_age
ACT,2019,435730,2033,466.6,462.7,659,32.4,154.0,10914,26.4,323,49.0,75.6,82.6
ACT,2020,444903,2162,485.9,472.9,739,34.2,166.8,13048,31.0,381,51.6,86.8,81.6
ACT,2021,452508,2207,487.7,464.7,761,34.5,169.8,13502,31.6,372,48.9,83.2,81.6
ACT,2022,456915,2563,560.9,518.8,854,33.3,189.6,14386,33.5,413,48.4,92.6,81.8
ACT,2023,466566,2406,515.7,473.4,741,30.8,164.7,13986,32.0,348,47.0,77.6,81.6
NSW,2019,8046748,56042,696.5,531.5,18433,32.9,206.4,289606,38.8,8883,48.2,101.9,82.1
NSW,2020,8110610,52485,647.1,485.7,17281,32.9,189.7,266904,35.5,8388,48.5,94.4,82.1
NSW,2021,8097062,56525,698.1,509.5,17860,31.6,193.8,272402,36.4,8323,46.6,92.8,82.4
NSW,2022,8166704,62980,771.2,553.4,19076,30.3,205.5,284022,37.8,8795,46.1,97.0,82.7
NSW,2023,8342285,59451,712.6,512.3,18095,30.4,192.8,268883,35.1,8409,46.5,91.5,82.4
NT,2019,246559,1142,463.2,742.1,776,68.0,355.6,17644,73.3,476,61.3,214.8,66.2
NT,2020,247428,1141,461.1,690.5,792,69.4,355.7,17917,74.2,460,58.1,203.7,67.4
NT,2021,248151,1211,488.0,721.4,795,65.6,347.0,17600,72.8,454,57.1,196.3,67.2
NT,2022,250228,1338,534.7,763.4,883,66.0,383.5,19624,80.7,522,59.1,224.9,67.8
NT,2023,252529,1253,496.2,671.9,856,68.3,369.8,17824,72.8,480,56.1,204.4,67.2
QLD,2019,5088847,32470,638.1,535.6,11982,36.9,211.9,195523,41.1,6145,51.3,111.6,80.4
QLD,2020,5165613,31367,607.2,501.0,11547,36.8,200.5,191191,39.7,5867,50.8,105.0,80.3
QLD,2021,5215814,33858,649.1,521.5,12139,35.9,206.2,197114,40.6,6038,49.7,106.1,80.7
QLD,2022,5320941,38160,717.2,564.4,12854,33.7,214.3,207251,42.0,6355,49.4,109.0,81.1
QLD,2023,5460420,36622,670.7,524.0,12644,34.5,206.8,203964,40.4,6331,50.1,106.1,80.8
SA,2019,1767395,13913,787.2,527.8,4390,31.6,210.3,67729,41.8,2151,49.0,106.5,82.9
SA,2020,1790355,13607,760.0,504.7,4297,31.6,200.5,64606,39.4,2061,48.0,100.2,82.6
SA,2021,1802601,14494,804.1,521.1,4498,31.0,206.3,67686,41.2,2139,47.6,101.5,83.1
SA,2022,1821215,15455,848.6,541.2,4626,29.9,209.2,67941,41.0,2067,44.7,96.9,82.9
SA,2023,1852284,15499,836.8,532.5,4606,29.7,206.9,67250,40.0,2013,43.7,93.7,82.7
TAS,2019,547841,4662,851.0,586.9,1650,35.4,238.4,24245,48.2,843,51.1,125.6,80.7
TAS,2020,557578,4435,795.4,539.8,1580,35.6,221.9,22764,44.6,828,52.4,121.0,80.8
TAS,2021,567239,4769,840.7,559.9,1636,34.3,223.2,22817,44.1,843,51.5,118.3,81.1
TAS,2022,571051,5142,900.4,585.8,1771,34.4,239.9,24201,46.6,859,48.5,119.9,80.7
TAS,2023,573156,5073,885.1,563.2,1581,31.2,217.0,22256,42.9,775,49.0,109.9,81.5
VIC,2019,6537305,41227,630.6,500.8,13092,31.8,187.5,212037,34.8,6524,49.8,94.9,82.6
VIC,2020,6615046,41093,621.2,485.2,13087,31.8,182.2,208589,33.9,6478,49.5,91.8,82.6
VIC,2021,6547822,42486,648.9,491.7,13410,31.6,185.5,209151,34.5,6260,46.7,88.5,82.7
VIC,2022,6630631,47978,723.6,541.7,14591,30.4,200.7,227013,37.0,6828,46.8,96.1,82.9
VIC,2023,6815441,45326,665.0,500.1,13955,30.8,188.8,219607,34.9,6776,48.6,93.8,82.5
WA,2019,2659625,15042,565.6,491.2,5465,36.3,192.5,94988,38.1,2885,52.8,104.3,81.1
WA,2020,2712912,14993,552.7,468.2,5598,37.3,190.1,95269,37.5,2934,52.4,102.7,80.7
WA,2021,2749365,15891,578.0,476.0,5562,35.0,183.5,92794,36.1,2888,51.9,98.0,81.4
WA,2022,2791794,17299,619.6,500.1,5969,34.5,194.9,99689,38.4,3087,51.7,103.8,81.3
WA,2023,2881227,17475,606.5,486.1,5982,34.2,191.3,99286,37.1,2976,49.7,97.4,81.5
