state,n_years_total,waste_metric,environmental_metric,n_years_used,pearson_corr,abs_pearson_corr
ACT,15,ewaste_proxy_tonnes,total_air_emission_kg,15,-0.2097769365316704,0.2097769365316704
ACT,15,ewaste_proxy_tonnes,total_water_emission_kg,15,0.3752038737170134,0.3752038737170134
ACT,15,ewaste_proxy_tonnes,total_land_emission_kg,15,0.6883823618848235,0.6883823618848235
ACT,15,ewaste_proxy_tonnes,lead_air_kg,15,-0.29715849802152705,0.29715849802152705
ACT,15,ewaste_proxy_tonnes,lead_water_kg,15,0.14479322675895365,0.14479322675895365
ACT,15,ewaste_proxy_tonnes,lead_land_kg,15,-0.026771604341482888,0.026771604341482888
ACT,15,ewaste_proxy_tonnes,mercury_air_kg,15,-0.5384535295680216,0.5384535295680216
ACT,15,ewaste_proxy_tonnes,mercury_water_kg,15,0.30823608935558716,0.30823608935558716
ACT,15,ewaste_proxy_tonnes,mercury_land_kg,15,0.3625845820242124,0.3625845820242124
ACT,15,ewaste_proxy_tonnes,cadmium_air_kg,15,-0.38486809891219886,0.38486809891219886
ACT,15,ewaste_proxy_tonnes,cadmium_water_kg,15,-0.10587913014972836,0.10587913014972836
ACT,15,ewaste_proxy_tonnes,cadmium_land_kg,15,0.4559698173256889,0.4559698173256889
ACT,15,ewaste_proxy_tonnes,nickel_air_kg,15,0.0590878199093529,0.0590878199093529
ACT,15,ewaste_proxy_tonnes,nickel_water_kg,15,-0.1484824755469414,0.1484824755469414
ACT,15,ewaste_proxy_tonnes,nickel_land_kg,15,0.44388933775268336,0.44388933775268336
ACT,15,ewaste_proxy_tonnes,chromium_air_kg,15,0.07305183145068503,0.07305183145068503
ACT,15,ewaste_proxy_tonnes,chromium_water_kg,15,-0.11424038563039152,0.11424038563039152
ACT,15,ewaste_proxy_tonnes,chromium_land_kg,15,0.4384531986710717,0.4384531986710717
ACT,15,ewaste_proxy_tonnes,copper_air_kg,15,-0.12472167170566703,0.12472167170566703
ACT,15,ewaste_proxy_tonnes,copper_water_kg,15,-0.10937817542445068,0.10937817542445068
ACT,15,ewaste_proxy_tonnes,copper_land_kg,15,0.36555679722498524,0.36555679722498524
ACT,15,ewaste_proxy_tonnes,zinc_air_kg,15,0.09672007283445033,0.09672007283445033
ACT,15,ewaste_proxy_tonnes,zinc_water_kg,15,-0.20577988691828755,0.20577988691828755
ACT,15,ewaste_proxy_tonnes,zinc_land_kg,15,0.4580609842411747,0.4580609842411747
ACT,15,ewaste_proxy_tonnes,tvoc_air_kg,15,-0.13653505717126763,0.13653505717126763
ACT,15,ewaste_proxy_tonnes,tvoc_water_kg,15,,
ACT,15,ewaste_proxy_tonnes,tvoc_land_kg,15,,
ACT,15,ewaste_proxy_tonnes,pm10_air_kg,15,0.05803235389962535,0.05803235389962535
ACT,15,ewaste_proxy_tonnes,pm10_water_kg,15,,
ACT,15,ewaste_proxy_tonnes,pm10_land_kg,15,,
ACT,15,ewaste_proxy_tonnes,pm25_air_kg,15,0.1067343669256807,0.1067343669256807
ACT,15,ewaste_proxy_tonnes,pm25_water_kg,15,,
ACT,15,ewaste_proxy_tonnes,pm25_land_kg,15,,
ACT,15,hazardous_recycling_tonnes,total_air_emission_kg,15,-0.06517016261139094,0.06517016261139094
ACT,15,hazardous_recycling_tonnes,total_water_emission_kg,15,0.41654201910848504,0.41654201910848504
ACT,15,hazardous_recycling_tonnes,total_land_emission_kg,15,0.4747928596452023,0.4747928596452023
ACT,15,hazardous_recycling_tonnes,lead_air_kg,15,-0.3352611213729121,0.3352611213729121
ACT,15,hazardous_recycling_tonnes,lead_water_kg,15,0.6572872952553829,0.6572872952553829
ACT,15,hazardous_recycling_tonnes,lead_land_kg,15,0.24852193497753144,0.24852193497753144
ACT,15,hazardous_recycling_tonnes,mercury_air_kg,15,-0.024374108024126515,0.024374108024126515
ACT,15,hazardous_recycling_tonnes,mercury_water_kg,15,0.07513650876335573,0.07513650876335573
ACT,15,hazardous_recycling_tonnes,mercury_land_kg,15,0.7069566631622959,0.7069566631622959
ACT,15,hazardous_recycling_tonnes,cadmium_air_kg,15,-0.4003214179331962,0.4003214179331962
ACT,15,hazardous_recycling_tonnes,cadmium_water_kg,15,0.08967600950928195,0.08967600950928195
ACT,15,hazardous_recycling_tonnes,cadmium_land_kg,15,0.7816087346779748,0.7816087346779748
ACT,15,hazardous_recycling_tonnes,nickel_air_kg,15,0.15085821443883415,0.15085821443883415
ACT,15,hazardous_recycling_tonnes,nickel_water_kg,15,0.10930568357422332,0.10930568357422332
ACT,15,hazardous_recycling_tonnes,nickel_land_kg,15,0.7735396498675313,0.7735396498675313
ACT,15,hazardous_recycling_tonnes,chromium_air_kg,15,0.16993109812161952,0.16993109812161952
ACT,15,hazardous_recycling_tonnes,chromium_water_kg,15,0.07429185789439545,0.07429185789439545
ACT,15,hazardous_recycling_tonnes,chromium_land_kg,15,0.7697151299056109,0.7697151299056109
ACT,15,hazardous_recycling_tonnes,copper_air_kg,15,0.11651579669088347,0.11651579669088347
ACT,15,hazardous_recycling_tonnes,copper_water_kg,15,0.14903372751651972,0.14903372751651972
ACT,15,hazardous_recycling_tonnes,copper_land_kg,15,0.7096821195709123,0.7096821195709123
ACT,15,hazardous_recycling_tonnes,zinc_air_kg,15,0.23820674345376927,0.23820674345376927
ACT,15,hazardous_recycling_tonnes,zinc_water_kg,15,0.17252491712776355,0.17252491712776355
ACT,15,hazardous_recycling_tonnes,zinc_land_kg,15,0.7829404058757372,0.7829404058757372
ACT,15,hazardous_recycling_tonnes,tvoc_air_kg,15,-0.32123489161658986,0.32123489161658986
