brand,year_of_manufacture,age,repair_status,problem,fault_type
Samsung,2022,3,Repairable,no reaction.,Other damage
Samsung,unknown,unknown,Repairable,tablet. No longer charges (reliably). Probably dirt in the charging socket. Repair: charging socket cleaned.,Charge port issue
Samsung,unknown,unknown,Repairable,"Only charges when/under high heat?!? - According to my test and test adapters and USB charger, both the USB-C charging socket and the charging behavior on the cell phone are OK. The thermal camera also showed no abnormalities when charging the cell phone. Owner should check charging cable and adapter. [UE] {Günter S.}",Battery issues
Apple,unknown,unknown,Repairable,"Touch no longer works. Phone purchased from classifieds was “poorly” repaired. The display came off the frame (without glue) and the touch could not be used as a result. The ribbon cable for the touch finally broke off, so a new display unit was ordered. The continuation will take place on July 17, 25.",Screen damage
Apple,2020,5,Repairable,"Continued on July 17, 2025: Display with touch function replaced.",Screen damage
Apple,unknown,unknown,Repairable,Replacing the camera glass and battery --- Replacing the battery and lens.,Battery
Samsung,2021,4,Repairable,Memory full. Explains that you can insert a memory card.,Other damage
Apple,2022,3,Unknown,"2nd appointment We swapped the display together with the guest. Unfortunately, after the trial operation and final assembly, the following status occurred: No image, backlight active, device boots and can be accessed in the cloud. The old display no longer shows an image either. The device cannot be used in this condition. broken during repair.",Screen damage
Samsung,unknown,unknown,End of life,"Display disappears, requires restart every time.",Display issues
Samsung,unknown,unknown,End of life,Loose contact USB-C port.,Charge port issue
Samsung,2015,10,End of life,"Cell phone can no longer be switched on, circuit board short circuit without precise location, capacitors measured, device cannot be repaired.",Other damage
Samsung,unknown,unknown,Repairable,Gmail doesn't work. OK after reinstalling.,Display issues
Apple,2023,2,Repairable,"Display has a crack. Shortly after we started dismantling the device, we discovered that the guest had gotten the wrong electronic part. He comes back with the right spare part.",Screen damage
Samsung,2015,10,End of life,Don't start.,Other damage
Apple,2022,3,End of life,"Serious fall damage, device cannot be repaired economically, but data should be saved. Smartphone does not start, device disassembled, contacts cleaned, battery charged manually, data backup pending.",Other damage
Samsung,2015,10,Repairable,On-off button no longer works. Smartphone was dismantled and then a new button was installed. Full functionality restored.,Other damage
Samsung,2020,5,Repairable,Replace battery.,Battery issues
Samsung,unknown,unknown,End of life,after the wine shower the buttons no longer work -&gt; goes directly to fastboot.,Display issues
Apple,unknown,unknown,End of life,no longer loads.,Other damage
Samsung,unknown,unknown,End of life,Display.,Display issues
Samsung,unknown,unknown,End of life,Display defective.,Display issues
Apple,unknown,unknown,End of life,Fire damage.,Other damage
Samsung,unknown,unknown,End of life,no sound from speakers.,Other damage
Samsung,unknown,unknown,Repairable,only charges 80% -&gt; Settings changed.,Other damage
Samsung,unknown,unknown,Repairable,no longer loads.,Other damage
Samsung,unknown,unknown,Repairable,Mains connection.,Other damage
Apple,unknown,unknown,End of life,Screen jump.,Screen damage
Samsung,unknown,unknown,End of life,Signal app no ​​longer works.,Other damage
Samsung,unknown,unknown,Repairable,Advice on how to transfer images and videos to your PC without using a cloud.,Other damage
Samsung,unknown,unknown,Repairable,"0.25 kg, memory full.",Other damage
Apple,2018,7,Repairable,Memory full. Advice: Transfer to SanDisk 128GB memory card. Cloiud because Costs and data protection not desired.,Other damage
Samsung,2018,7,Repairable,Memory full. Transfer images and videos to notebook.,Other damage
Apple,2021,4,Repairable,Transfer data from iPhone to Android smartphone.,Other damage
Samsung,unknown,unknown,End of life,Device no longer starts.,Other damage
Samsung,2010,15,Repairable,"Some buttons don't work, clean them.",Other damage
Samsung,unknown,unknown,Repairable,camera error software.,Rear Camera Issues
Apple,2019,6,Repairable,"Battery defective, battery replaced.",Battery
Apple,2018,6,Repairable,Display defective. Replaced and functional test.,Screen damage
Apple,2020,4,Repairable,"Update, Backup.",Other damage
Apple,2020,4,Repairable,Replace battery and display.,Screen damage
