original_fault_type,brand,age,problem,fault_type
Microphone,Apple,unknown_age,Mobile - Mic problem - Tried cardboard hack and failed,Other damage
Other,Samsung,unknown_age,Mobile - Configuration problem -,Other damage
Unknown,Samsung,unknown_age,Mobile - -,Other damage
Speaker/amplifier,Apple,unknown_age,Mobile - No sound output -,Other damage
Power/battery,Samsung,unknown_age,Mobile - Gets no power -,Battery issues
Stuck booting,Samsung,unknown_age,Mobile - Won't boot -,Other damage
On/Off button,Apple,unknown_age,Mobile - Switch problem -,Other damage
Other,Samsung,unknown_age,Mobile - Bricked -,Other damage
Power/battery,Apple,unknown_age,Mobile - No power -,Battery
Power/battery,Samsung,unknown_age,Mobile - Battery issue -,Battery issues
Power/battery,Samsung,unknown_age,Mobile - No power -,Battery issues
Software update,Samsung,unknown_age,Mobile - Bricked -,Other damage
Screen,Apple,unknown_age,Mobile - Screen issue - Not enough time,Screen damage
Sim card slot,Apple,unknown_age,Mobile - No SIM card recognition -,Other damage
Stuck booting,Samsung,unknown_age,Mobile - Won't boot - Not enough time,Other damage
Software update,Samsung,unknown_age,Mobile - Firmware issue -,Other damage
Screen,Apple,unknown_age,Mobile - Screen issue - needs a new part,Screen damage
Screen,Apple,unknown_age,Mobile - screen issue - Spare part needed,Screen damage
Screen,Samsung,unknown_age,"Smashed screen, doesn't switch on",Display issues
Software update,Samsung,unknown_age,"Switches on, but can't launch programmes",Other damage
Power/battery,Apple,unknown_age,Turn off after a few minutes,Battery
Screen,Samsung,unknown_age,Mobile - Screen issue - Referred to professional,Display issues
Other buttons,Samsung,unknown_age,Mobile - Home button - Needs more work,Other damage
On/Off button,Apple,unknown_age,Mobile - Home button/Power switch - Needs spare part - DIY ready,Battery
Camera,Samsung,unknown_age,Mobile - Lens smashed - Self-fix,Rear Camera Issues
USB/charging port,Samsung,unknown_age,Mobile - USB port - Referred to professional,Charge port issue
Stuck booting,Samsung,unknown_age,Mobile - Bootloop - Referred to professional,Other damage
Screen,Apple,unknown_age,Mobile - Screen issue -,Screen damage
Stuck booting,Samsung,unknown_age,Mobile - Won't boot -,Other damage
Screen,Apple,unknown_age,Mobile - Screen issue -,Screen damage
Screen,Apple,unknown_age,Mobile - Screen issue -,Screen damage
Screen,Apple,unknown_age,Mobile - Screen issue - Self repair,Screen damage
Other buttons,Apple,unknown_age,"Home button is stuck. Neeeds to go to shop, button mislodged after screen repair",Screen damage
Screen,Samsung,unknown_age,Broken screen,Display issues
