health_metric,emissions_metric,n_state_year_pairs,n_predictors,raw_beta,standardized_beta,abs_standardized_beta,intercept,r_squared,adjusted_r_squared,condition_number
age_standardised_rate_per_100000,zinc_air_kg,40,27,0.003778207447431401,5.0527182992621125,5.0527182992621125,491.32628574546266,0.8516117136017243,0.517738069205604,877691315.9059019
age_standardised_rate_per_100000,nickel_air_kg,40,27,-0.002438431024373456,-4.157951237219354,4.157951237219354,491.32628574546266,0.8516117136017243,0.517738069205604,877691315.9059019
age_standardised_rate_per_100000,chromium_air_kg,40,27,0.0026969612897835603,3.7615019320731737,3.7615019320731737,491.32628574546266,0.8516117136017243,0.517738069205604,877691315.9059019
age_standardised_rate_per_100000,total_air_emission_kg,40,27,-5.769059481201757e-07,-3.6667758972948206,3.6667758972948206,491.32628574546266,0.8516117136017243,0.517738069205604,877691315.9059019
age_standardised_rate_per_100000,tvoc_air_kg,40,27,1.6357340808085437e-05,3.2499939849289343,3.2499939849289343,491.32628574546266,0.8516117136017243,0.517738069205604,877691315.9059019
age_standardised_rate_per_100000,zinc_land_kg,40,27,0.004336127562069911,2.39951584456401,2.39951584456401,491.32628574546266,0.8516117136017243,0.517738069205604,877691315.9059019
age_standardised_rate_per_100000,lead_land_kg,40,27,-0.00611943601897632,-1.7778648288044665,1.7778648288044665,491.32628574546266,0.8516117136017243,0.517738069205604,877691315.9059019
age_standardised_rate_per_100000,cadmium_land_kg,40,27,1.4485721657041613,1.4017259456973674,1.4017259456973674,491.32628574546266,0.8516117136017243,0.517738069205604,877691315.9059019
age_standardised_rate_per_100000,copper_air_kg,40,27,-0.0012550512038708688,-0.9865639777563042,0.9865639777563042,491.32628574546266,0.8516117136017243,0.517738069205604,877691315.9059019
age_standardised_rate_per_100000,pm25_air_kg,40,27,-1.704163527030405e-05,-0.8905175991119951,0.8905175991119951,491.32628574546266,0.8516117136017243,0.517738069205604,877691315.9059019
age_standardised_rate_per_100000,lead_water_kg,40,27,-0.007256851755593939,-0.8458370761973093,0.8458370761973093,491.32628574546266,0.8516117136017243,0.517738069205604,877691315.9059019
age_standardised_rate_per_100000,lead_air_kg,40,27,-0.0012142868712984236,-0.7438942055003668,0.7438942055003668,491.32628574546266,0.8516117136017243,0.517738069205604,877691315.9059019
age_standardised_rate_per_100000,nickel_land_kg,40,27,-0.0011226256819242024,-0.6961034447253066,0.6961034447253066,491.32628574546266,0.8516117136017243,0.517738069205604,877691315.9059019
age_standardised_rate_per_100000,mercury_air_kg,40,27,-0.04499072187502973,-0.5676289929748902,0.5676289929748902,491.32628574546266,0.8516117136017243,0.517738069205604,877691315.9059019
age_standardised_rate_per_100000,mercury_land_kg,40,27,-5.320668698316769,-0.5655130262402124,0.5655130262402124,491.32628574546266,0.8516117136017243,0.517738069205604,877691315.9059019
age_standardised_rate_per_100000,nickel_water_kg,40,27,0.02391237675546497,0.5540131833970273,0.5540131833970273,491.32628574546266,0.8516117136017243,0.517738069205604,877691315.9059019
age_standardised_rate_per_100000,cadmium_water_kg,40,27,0.05822536033483801,0.5272039436098577,0.5272039436098577,491.32628574546266,0.8516117136017243,0.517738069205604,877691315.9059019
age_standardised_rate_per_100000,total_land_emission_kg,40,27,-4.713975848365078e-05,-0.5127539908593558,0.5127539908593558,491.32628574546266,0.8516117136017243,0.517738069205604,877691315.9059019
age_standardised_rate_per_100000,pm10_air_kg,40,27,-1.726819564225878e-07,-0.45437033223052253,0.45437033223052253,491.32628574546266,0.8516117136017243,0.517738069205604,877691315.9059019
age_standardised_rate_per_100000,copper_land_kg,40,27,-0.007081867586498751,-0.446809838178964,0.446809838178964,491.32628574546266,0.8516117136017243,0.517738069205604,877691315.9059019
age_standardised_rate_per_100000,chromium_land_kg,40,27,0.0024880991490985873,0.3155103844855797,0.3155103844855797,491.32628574546266,0.8516117136017243,0.517738069205604,877691315.9059019
age_standardised_rate_per_100000,mercury_water_kg,40,27,0.8739361372215337,0.15017434227475224,0.15017434227475224,491.32628574546266,0.8516117136017243,0.517738069205604,877691315.9059019
age_standardised_rate_per_100000,copper_water_kg,40,27,-0.0005599035599463234,-0.1056766427461471,0.1056766427461471,491.32628574546266,0.8516117136017243,0.517738069205604,877691315.9059019
age_standardised_rate_per_100000,chromium_water_kg,40,27,0.0015317228226908136,0.08077024797244636,0.08077024797244636,491.32628574546266,0.8516117136017243,0.517738069205604,877691315.9059019
age_standardised_rate_per_100000,total_water_emission_kg,40,27,-4.07970458958841e-07,-0.07342573701518312,0.07342573701518312,491.32628574546266,0.8516117136017243,0.517738069205604,877691315.9059019
age_standardised_rate_per_100000,zinc_water_kg,40,27,-0.00016367191016654478,-0.06732507700544435,0.06732507700544435,491.32628574546266,0.8516117136017243,0.517738069205604,877691315.9059019
age_standardised_rate_per_100000,cadmium_air_kg,40,27,-0.0031310015393622966,-0.03951397700281134,0.03951397700281134,491.32628574546266,0.8516117136017243,0.517738069205604,877691315.9059019
crude_rate_per_100000,nickel_air_kg,40,27,-0.0048552614201150136,-4.856696342615072,4.856696342615072,505.7752605224886,0.9806548844584696,0.9371283744900262,877691315.9059019
crude_rate_per_100000,total_air_emission_kg,40,27,1.1595471694671077e-06,4.323417609117319,4.323417609117319,505.7752605224886,0.9806548844584696,0.9371283744900262,877691315.9059019
crude_rate_per_100000,pm10_air_kg,40,27,2.096146370448217e-06,3.235519543993684,3.235519543993684,505.7752605224886,0.9806548844584696,0.9371283744900262,877691315.9059019
crude_rate_per_100000,zinc_air_kg,40,27,-0.004009972381875612,-3.145865013731851,3.145865013731851,505.7752605224886,0.9806548844584696,0.9371283744900262,877691315.9059019
crude_rate_per_100000,zinc_land_kg,40,27,0.006944393896395554,2.2543188085251167,2.2543188085251167,505.7752605224886,0.9806548844584696,0.9371283744900262,877691315.9059019
crude_rate_per_100000,mercury_air_kg,40,27,-0.22744317719090193,-1.683348117740764,1.683348117740764,505.7752605224886,0.9806548844584696,0.9371283744900262,877691315.9059019
crude_rate_per_100000,total_water_emission_kg,40,27,-1.499688874601401e-05,-1.583361872362992,1.583361872362992,505.7752605224886,0.9806548844584696,0.9371283744900262,877691315.9059019
crude_rate_per_100000,pm25_air_kg,40,27,-4.5769164514653116e-05,-1.4030192865609736,1.4030192865609736,505.7752605224886,0.9806548844584696,0.9371283744900262,877691315.9059019
crude_rate_per_100000,chromium_air_kg,40,27,0.001339809759613544,1.0961983121849936,1.0961983121849936,505.7752605224886,0.9806548844584696,0.9371283744900262,877691315.9059019
crude_rate_per_100000,total_land_emission_kg,40,27,0.000166744692647926,1.0639791841734054,1.0639791841734054,505.7752605224886,0.9806548844584696,0.9371283744900262,877691315.9059019
crude_rate_per_100000,mercury_water_kg,40,27,10.019644192386455,1.0100148428567826,1.0100148428567826,505.7752605224886,0.9806548844584696,0.9371283744900262,877691315.9059019
crude_rate_per_100000,cadmium_land_kg,40,27,1.4723338042783374,0.8357736512287048,0.8357736512287048,505.7752605224886,0.9806548844584696,0.9371283744900262,877691315.9059019
crude_rate_per_100000,lead_land_kg,40,27,-0.004473500522844123,-0.7624199436771415,0.7624199436771415,505.7752605224886,0.9806548844584696,0.9371283744900262,877691315.9059019
crude_rate_per_100000,lead_air_kg,40,27,-0.0018728716876354457,-0.6730654790096771,0.6730654790096771,505.7752605224886,0.9806548844584696,0.9371283744900262,877691315.9059019
crude_rate_per_100000,mercury_land_kg,40,27,-9.585240433321568,-0.5976388512830727,0.5976388512830727,505.7752605224886,0.9806548844584696,0.9371283744900262,877691315.9059019
crude_rate_per_100000,cadmium_air_kg,40,27,0.07416683868677063,0.5490812899209863,0.5490812899209863,505.7752605224886,0.9806548844584696,0.9371283744900262,877691315.9059019
crude_rate_per_100000,tvoc_air_kg,40,27,4.6999768240963946e-06,0.5478037324489746,0.5478037324489746,505.7752605224886,0.9806548844584696,0.9371283744900262,877691315.9059019
crude_rate_per_100000,chromium_land_kg,40,27,-0.006516274730694992,-0.48473544454686196,0.48473544454686196,505.7752605224886,0.9806548844584696,0.9371283744900262,877691315.9059019
crude_rate_per_100000,chromium_water_kg,40,27,-0.014409636288257286,-0.44574211309331657,0.44574211309331657,505.7752605224886,0.9806548844584696,0.9371283744900262,877691315.9059019
