state,n_years_total,waste_metric,environmental_metric,n_years_used,pearson_corr,spearman_corr,abs_pearson_corr,abs_spearman_corr
ACT,15,ewaste_proxy_tonnes,total_land_emission_kg,15,0.6883823618848235,0.8749999999999999,0.6883823618848235,0.8749999999999999
ACT,15,ewaste_proxy_tonnes,mercury_air_kg,15,-0.5384535295680216,-0.6071428571428571,0.5384535295680216,0.6071428571428571
ACT,15,ewaste_proxy_tonnes,zinc_land_kg,15,0.4580609842411747,0.8037692290359052,0.4580609842411747,0.8037692290359052
ACT,15,ewaste_proxy_tonnes,cadmium_land_kg,15,0.4559698173256889,0.8037692290359052,0.4559698173256889,0.8037692290359052
ACT,15,ewaste_proxy_tonnes,nickel_land_kg,15,0.44388933775268336,0.8037692290359052,0.44388933775268336,0.8037692290359052
ACT,15,ewaste_proxy_tonnes,chromium_land_kg,15,0.4384531986710717,0.8037692290359052,0.4384531986710717,0.8037692290359052
ACT,15,ewaste_proxy_tonnes,cadmium_air_kg,15,-0.38486809891219886,-0.4678571428571427,0.38486809891219886,0.4678571428571427
ACT,15,ewaste_proxy_tonnes,total_water_emission_kg,15,0.3752038737170134,0.5178571428571428,0.3752038737170134,0.5178571428571428
ACT,15,ewaste_proxy_tonnes,copper_land_kg,15,0.36555679722498524,0.8037692290359052,0.36555679722498524,0.8037692290359052
ACT,15,ewaste_proxy_tonnes,mercury_land_kg,15,0.3625845820242124,0.8037692290359052,0.3625845820242124,0.8037692290359052
ACT,15,ewaste_proxy_tonnes,mercury_water_kg,15,0.30823608935558716,0.19439770417480273,0.30823608935558716,0.19439770417480273
ACT,15,ewaste_proxy_tonnes,lead_air_kg,15,-0.29715849802152705,-0.2607142857142857,0.29715849802152705,0.2607142857142857
ACT,15,ewaste_proxy_tonnes,total_air_emission_kg,15,-0.2097769365316704,-0.07142857142857141,0.2097769365316704,0.07142857142857141
ACT,15,ewaste_proxy_tonnes,zinc_water_kg,15,-0.20577988691828755,-0.30357142857142855,0.20577988691828755,0.30357142857142855
ACT,15,ewaste_proxy_tonnes,nickel_water_kg,15,-0.1484824755469414,-0.5249999999999999,0.1484824755469414,0.5249999999999999
ACT,15,ewaste_proxy_tonnes,lead_water_kg,15,0.14479322675895365,0.5915998787695819,0.14479322675895365,0.5915998787695819
ACT,15,ewaste_proxy_tonnes,tvoc_air_kg,15,-0.13653505717126763,-0.28571428571428564,0.13653505717126763,0.28571428571428564
ACT,15,ewaste_proxy_tonnes,copper_air_kg,15,-0.12472167170566703,0.175,0.12472167170566703,0.175
